Date_Collected,Site,Area,Upwelling,x,y,Colony,Temp,bleaching_level,Total_Energetic_Lipid 
16-Mar,8,South Lagoon,Yes,1.886,-157.552,63,28.441671,2,0.298474353
16-Mar,8,South Lagoon,Yes,1.886,-157.552,886,28.441671,2,0.079060164
16-Mar,15,Bay of Wrecks,No,1.83004,-157.32169,578,28.716816,3,0.011581663
16-Mar,15,Bay of Wrecks,No,1.83004,-157.32169,585,28.716816,3,0.039430543
16-Mar,15,Bay of Wrecks,No,1.83004,-157.32169,591,28.716816,3,NA
16-Mar,27,North Lagoon,Yes,2.00877,-157.48886,723,28.365878,2,0.172278474
16-Mar,30,North Lagoon,Yes,2.00877,-157.48886,151,28.365878,1,0.054830351
16-Mar,30,North Lagoon,Yes,2.00877,-157.48886,441,28.365878,1,0.041206209
16-Mar,32,North Lagoon,Yes,1.984,-157.48199,499,28.365878,3,0.073254885
16-Mar,34,South Lagoon,Yes,1.91002,-157.53465,314,28.441671,0,NA
16-Mar,34,South Lagoon,Yes,1.91002,-157.53465,853,28.441671,1,0.135767604
16-Mar,35,South Lagoon,Yes,1.91002,-157.53465,1,28.441671,1,NA
16-Mar,35,South Lagoon,Yes,1.91002,-157.53465,5,28.441671,3,NA
16-Mar,35,South Lagoon,Yes,1.91002,-157.53465,15,28.441671,1,0.544934735
16-Mar,35,South Lagoon,Yes,1.91002,-157.53465,87,28.441671,2,0.046379614
16-Mar,35,South Lagoon,Yes,1.91002,-157.53465,874,28.441671,2,0.113347043
16-Mar,38,North Shore,Yes,1.91002,-157.43419,194,28.77184,1,0.145493359
16-Mar,38,North Shore,Yes,1.91002,-157.43419,197,28.77184,2,0.226747123
16-Mar,38,North Shore,Yes,1.91002,-157.43419,971,28.77184,3,0.035481134
